epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
0,0.6887630224227905,56.25,0.7450515031814575,42.5,20.982749223709106,1,0.67301344871521,46.357940673828125
1,0.6136041879653931,66.5625,0.7541268467903137,53.75,27.346058130264282,1,0.6521406173706055,46.357940673828125
2,0.5567296147346497,74.375,0.7355831265449524,65.0,25.1289005279541,1,0.6246433258056641,46.357940673828125
3,0.4971992075443268,77.5,0.7502308487892151,61.25,20.16962242126465,0,0.0,0.0
4,0.4267873764038086,80.625,0.7886009216308594,60.0,20.166996955871582,1,0.6682746410369873,46.357940673828125
5,0.4305824339389801,78.75,0.749728262424469,72.5,20.258540868759155,1,0.639350414276123,46.357940673828125
6,0.4024447202682495,81.25,0.7844300270080566,71.25,20.28349494934082,0,0.0,0.0
7,0.3900110125541687,81.25,0.7672096490859985,70.0,20.365006685256958,0,0.0,0.0
8,0.3719209134578705,82.5,0.7620322704315186,70.0,20.366878747940063,0,0.0,0.0
9,0.3639430105686188,83.4375,0.8026516437530518,71.25,20.42518901824951,1,0.6230049133300781,46.35889911651611
10,0.3196370005607605,84.375,0.8199419379234314,72.5,20.424622774124146,0,0.0,0.0
11,0.34006041288375854,82.5,0.8427544236183167,72.5,20.457111597061157,0,0.0,0.0
12,0.3287847340106964,84.375,0.8331476449966431,73.75,20.46551752090454,1,0.5670266151428223,46.35889911651611
13,0.31730660796165466,84.6875,0.8692063093185425,71.25,20.402153253555298,0,0.0,0.0
14,0.2726953625679016,86.25,0.8937214612960815,72.5,20.39838457107544,1,0.5762796401977539,46.35889911651611
15,0.29101747274398804,86.875,0.8657752871513367,70.0,23.03447914123535,0,0.0,0.0
16,0.2700042128562927,88.75,0.9012296199798584,71.25,27.936776399612427,0,0.0,0.0
17,0.2519315183162689,88.75,0.9233617782592773,70.0,23.133460521697998,0,0.0,0.0
18,0.2688305377960205,89.6875,0.9084523916244507,70.0,20.4311101436615,0,0.0,0.0
19,0.2602826952934265,86.875,0.8698423504829407,71.25,20.458044052124023,1,0.5377988815307617,46.35889911651611
