epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
0,0.6887630224227905,56.25,0.7450515031814575,42.5,38.784677267074585,1,0.6138443946838379,46.36621856689453
1,0.6140381097793579,66.875,0.7567387819290161,53.75,42.70251250267029,1,0.6308202743530273,46.36621856689453
2,0.5560718178749084,73.75,0.7369883060455322,65.0,30.96579909324646,1,0.5990800857543945,46.36621856689453
3,0.49574989080429077,77.1875,0.755935549736023,61.25,21.870360851287842,0,0.0,0.0
4,0.4259887635707855,80.625,0.7969149351119995,58.75,20.352938890457153,0,0.0,0.0
5,0.4314519464969635,78.4375,0.7501036524772644,72.5,20.511240005493164,1,0.5985429286956787,46.36621856689453
6,0.4018535017967224,80.9375,0.7888315916061401,71.25,21.965000867843628,0,0.0,0.0
7,0.3898022472858429,81.5625,0.7721913456916809,70.0,20.416297674179077,0,0.0,0.0
8,0.370655357837677,82.1875,0.7641409635543823,70.0,20.470394372940063,0,0.0,0.0
9,0.3636503219604492,83.75,0.8041495680809021,71.25,20.410854816436768,0,0.0,0.0
10,0.31933507323265076,84.375,0.8215726613998413,72.5,20.362653732299805,0,0.0,0.0
11,0.3378690779209137,83.4375,0.8469451665878296,73.75,20.381996631622314,1,0.5957884788513184,46.36621856689453
12,0.32702940702438354,84.6875,0.8368520140647888,73.75,21.8750422000885,0,0.0,0.0
13,0.3152923882007599,84.6875,0.8705766797065735,71.25,25.94478464126587,0,0.0,0.0
14,0.2720789313316345,86.25,0.897086501121521,72.5,25.27140736579895,0,0.0,0.0
15,0.2894887924194336,86.875,0.8683229684829712,70.0,20.375920295715332,0,0.0,0.0
16,0.26874256134033203,88.4375,0.9002132415771484,71.25,20.39421319961548,0,0.0,0.0
17,0.25039756298065186,88.125,0.9252609014511108,70.0,20.618045806884766,0,0.0,0.0
18,0.2668783664703369,89.6875,0.9087010622024536,70.0,20.3949933052063,0,0.0,0.0
19,0.25839006900787354,88.125,0.8698750734329224,71.25,20.469136953353882,0,0.0,0.0
